ARA,L10SLA,WSG,MaxH,L10SM
sensitive,-1.012945766,-0.916936211,-0.073678466,1.16793434
sensitive,0.067991716,-0.43716425,0.97625111,0.199036926
sensitive,-0.440427875,-0.077124738,0.832501593,0.83764289
sensitive,-0.744800435,-0.000212987,0.098278145,0.776465005
sensitive,,1.142929421,-0.468798293,0.66130455
sensitive,0.738923622,-0.796962582,0.396161815,0.526161828
sensitive,,0.287373991,0.443196078,0.493811662
sensitive,1.42782157,0.708312101,2.261227148,0.403886269
sensitive,1.477639894,0.287373991,-1.052493505,0.231029668
sensitive,0.259033864,0.222831417,0.991929154,0.216830951
sensitive,-0.011572445,0.324042377,0.944894891,-1.298663535
sensitive,0.382180165,-1.382871188,1.368203278,-2.637242181
sensitive,,-2.413146893,1.253753224,-4.311243556
sensitive,,1.230585622,-0.481811106,1.197248275
sensitive,1.242932171,-0.978765639,0.458881923,1.796332697
sensitive,0.519596794,-1.012482887,-0.098481857,0.865516093
sensitive,-0.858211951,0.125733757,1.02328533,0.082666537
sensitive,0.331802032,-1.488648077,1.547560588,-0.228127273
sensitive,-0.261091727,-1.0932173,0.10141751,-1.778021143
sensitive,0.073853629,-0.836172877,-0.311290657,0.788962629
sensitive,0.952053977,-1.075342984,0.989596473,0.626581632
sensitive,-0.026675423,0.551930986,-0.599396765,0.384105027
sensitive,1.47867219,-0.772267544,1.396449197,-0.766674552
sensitive,0.193603215,0.47273099,0.490230349,1.395988082
sensitive,-1.015307387,2.186646746,0.521586518,1.92910138
sensitive,0.445506674,0.922923998,0.239380936,0.565456828
sensitive,-0.587263397,1.97492608,-0.579258379,-0.333735229
sensitive,,-0.319766953,0.05124859,-0.499100807
sensitive,-0.162425197,-0.028052937,0.458881923,-1.516423471
sensitive,1.073569699,0.476705393,0.760285805,0.693742658
sensitive,0.442200637,-0.836172877,0.41497552,0.467776619
sensitive,0.363429557,0.204249581,0.239380936,0.453577227
sensitive,1.25714497,-0.312035966,0.03368498,-1.129468575
sensitive,,1.230585622,-0.514722402,1.311994232
sensitive,-2.62004398,0.720112007,0.239380936,0.636836481
sensitive,,0.940669939,-1.01486119,0.636836481
sensitive,,1.226911359,-0.340708315,0.629305658
sensitive,,-0.732077082,0.223050539,0.533627102
sensitive,0.035730883,0.204249581,0.333449483,0.071842825
sensitive,-1.168433825,0.720112007,-0.998750311,-0.088042406
sensitive,-1.085076928,0.401869157,0.302093288,-1.735867927
sensitive,,-0.659247549,0.239380936,-1.918870408
sensitive,-0.02647611,-1.33161874,1.258456648,0.555797669
sensitive,0.95136309,1.513145811,0.066922043,0.453577227
sensitive,-0.983319531,-0.490175761,-0.779694776,-0.140780233
sensitive,-0.261937119,0.476705393,-0.930787752,-0.272480227
sensitive,1.362323729,0.233551948,-0.073678466,-0.143132001
sensitive,,0.460070228,-0.68248986,0.23469788
sensitive,1.042755989,-1.070350099,1.666086933,-0.073362064
sensitive,1.76872699,0.204249581,-0.51254307,-1.179007255
sensitive,-0.455038746,0.302530449,-0.707574967,0.339194837
sensitive,-0.021796547,0.102161222,0.318577503,-0.263888298
sensitive,0.419436702,0.32468569,-0.514045255,-0.423041969
sensitive,-1.147406741,0.682558656,-0.407810465,-1.791524908
sensitive,0.292681654,-1.426151068,0.239380936,-0.867787207
sensitive,0.493124127,-0.763900291,-0.206703995,-0.616792516
