RAI,L10SLA,WSG,MaxH,L10SM
sensitive,-0.933816852,-1.087320976,0.018282825,0.880299528
sensitive,0.068153301,-0.598863228,1.275977387,-0.065862924
sensitive,-0.402405533,-0.241707831,0.709300677,0.487589768
sensitive,-0.685257213,-0.164439371,0.154018469,0.498031925
sensitive,,0.980291315,-0.287347758,0.382922374
sensitive,0.690090685,-0.958435477,0.388470957,0.253612276
sensitive,,0.186561041,0.42548977,0.22202257
sensitive,0.637643609,0.544711772,2.389517329,0.139983255
sensitive,1.392390143,0.186561041,-0.751708485,-0.050770439
sensitive,0.245234715,0.058460406,1.41934844,-0.048705268
sensitive,-0.005598055,0.159834852,1.029467665,-1.520304436
sensitive,-0.299802469,-1.549813144,1.153526443,-2.231055292
sensitive,,-2.567458415,1.063447329,-4.470086902
sensitive,0.337860483,1.034575421,0.69703244,1.310838988
sensitive,-0.375131815,0.740290744,-0.25733459,1.020973205
sensitive,-0.112608391,-0.900157328,0.561868325,0.941495682
sensitive,,-0.155599431,-0.438282553,0.931740558
sensitive,1.065858578,-0.390215797,0.443907864,0.922802895
sensitive,0.538642283,-0.191688563,-0.085607096,1.643969327
sensitive,-2.16813338,-0.598863228,0.465991719,-0.065862924
sensitive,,-1.454314204,0.160630135,-0.065862924
sensitive,0.230096606,-0.697612455,2.05431758,-0.16195053
sensitive,1.500348945,-1.050634544,-0.028607679,0.500604069
sensitive,-0.989167782,0.953774525,1.646269363,0.377187422
sensitive,-0.951387457,1.298538373,0.018282825,0.217296207
sensitive,,1.259994717,0.595688633,0.196599448
sensitive,0.73024541,-0.193488627,0.980771984,0.009007428
sensitive,1.23819392,1.39034754,1.163398126,-0.179803478
sensitive,-0.800866227,-0.065515514,0.265083219,-1.09935347
sensitive,-0.414574501,-1.763045163,1.06714921,-0.577867333
sensitive,0.208500732,0.383940404,0.265083219,-0.776610699
sensitive,-0.680348172,-1.087398705,-0.343376787,-1.10756193
sensitive,0.244200725,-1.129334177,-0.021203053,-1.107847729
sensitive,0.391756907,1.35085423,0.265083219,-2.069185796
sensitive,-0.271231727,0.136599832,-0.277867693,-2.490533481
sensitive,-0.779737554,1.35085423,-0.087186279,0.211894081
sensitive,-0.971591468,-0.649531725,0.511867141,-1.398895548
sensitive,-0.797568447,-0.537771098,0.265083219,0.466037405
sensitive,-0.758174795,-0.216422615,1.646269363,-0.002398075
sensitive,-1.097909122,0.106244398,0.783338304,1.21922284
sensitive,-0.562671877,-0.815661364,0.388470957,1.198143979
sensitive,0.371310778,-0.207790964,0.684621467,1.057978341
sensitive,,1.428392171,-0.085607096,0.992494456
sensitive,0.884296568,-0.010839977,1.283092325,
sensitive,,-1.419668795,0.279806749,0.121022897
sensitive,-0.707732448,-0.741442621,-0.248993018,-0.065862924
sensitive,-0.412489425,1.453667244,1.646269363,0.646628594
sensitive,0.466352626,0.274690307,0.474848202,0.528616255
sensitive,-0.939567617,-0.45027135,-0.343376787,0.500604069
