SEA,L10SLA,WSG,MaxH,L10SM
sensitive,,0.931825307,0.481320794,0.407847783
sensitive,,0.083122574,0.478567623,0.182350544
sensitive,,-2.667854921,1.149017937,-4.995196362
sensitive,,-0.196562154,-0.429107079,1.015596721
sensitive,,-1.486916528,-0.143837887,-0.094432553
sensitive,,-0.906046218,-0.338184662,0.538043637
sensitive,,-0.651486683,0.530434748,0.494212982
sensitive,,-0.591664962,-0.014170073,0.485519255
sensitive,,0.512394511,0.128464523,0.381269998
sensitive,,0.512394511,-0.429107079,0.381269998
sensitive,,-0.932345388,0.309999464,0.233055695
sensitive,,-0.826003306,0.361866589,0.199350725
sensitive,,0.77910457,0.658820095,0.197573577
sensitive,,1.392611265,0.662237469,0.075921109
sensitive,,0.845532969,-0.786990246,-0.015254951
sensitive,,-1.16318324,-0.455040642,-0.049301162
sensitive,,0.434997724,-0.027136846,-0.153499787
sensitive,,-0.731916435,-0.827965276,-0.543017785
sensitive,,-0.222833929,-0.745494035,-0.808491785
sensitive,,-0.601233123,0.17002275,-0.853099913
sensitive,,-1.026982814,-0.604466948,-0.856797601
sensitive,,-1.257414101,0.880537847,-0.968989061
sensitive,,-1.527014021,0.455875755,0.538043637
sensitive,,0.989465126,-0.617514562,2.154872343
sensitive,,1.103390191,-0.72721909,2.169573259
sensitive,,1.187725271,-0.039828366,1.824274055
sensitive,,0.374666094,-0.527784285,1.7448938
sensitive,,0.608498935,1.610086426,1.422622043
sensitive,,1.412739916,1.610086426,1.404858613
sensitive,,-0.504653326,0.958338539,1.392115229
sensitive,,-0.993641206,-0.039828366,1.376040529
sensitive,,0.437647923,-0.001203291,1.361881294
sensitive,,-1.116117492,1.058911749,1.344962354
sensitive,,0.584507812,-0.986678681,1.114880299
sensitive,,1.375908596,-0.066037198,1.083191099
sensitive,,0.864807146,-0.143837887,1.125654322
sensitive,,0.965023116,1.56130015,0.949916953
sensitive,,-0.425286855,-0.338184662,0.948340668
sensitive,,-0.425286855,-0.511057137,0.948340668
sensitive,,0.499613936,-0.16977145,1.289120353
sensitive,,0.096484704,0.893504628,1.048482889
sensitive,,1.218903575,1.610086426,0.455764132
sensitive,,-1.506970827,0.379880153,0.113471404
sensitive,,-0.635612371,0.309999464,-0.094432553
sensitive,,1.062095059,0.050909133,0.713782657
sensitive,,-0.746665661,-1.1098631,0.587924822
sensitive,,1.917106315,-0.039828366,0.568699863
sensitive,,-1.754170221,0.595268661,0.496128612
sensitive,,-1.393454928,-1.82951947,0.496128612
sensitive,,-0.605013027,0.335933026,0.488500094
sensitive,,0.484054043,-0.62473545,0.411859413
sensitive,,0.484054043,0.875922109,0.411859413
sensitive,,0.891537092,0.309999464,0.407847783
sensitive,,-1.136664802,-0.437405184,0.398719797
sensitive,,-0.010669299,-0.057359871,0.385837959
sensitive,,-1.393392726,1.188579564,0.38246452
sensitive,,-0.61644648,-0.826798265,0.381269998
sensitive,,0.512394511,-0.338184662,0.381269998
sensitive,,0.512394511,-0.668992535,0.381269998
sensitive,,0.512394511,-0.407841557,0.381269998
sensitive,,0.197117503,-0.055663308,0.372534554
sensitive,,0.602471305,-0.104937543,0.355252748
sensitive,,-0.26515086,-1.168461579,0.347131631
sensitive,,-1.086063725,-0.039828366,0.336898377
sensitive,,1.544048727,0.387800152,0.291735105
sensitive,,-0.720484893,-0.046587026,0.318128264
sensitive,,0.494008119,-0.433597058,0.315722045
sensitive,,1.357535669,0.463496848,0.305532082
sensitive,,0.009630862,-0.71437128,0.304401721
sensitive,,-0.404595119,-0.495561834,0.256904578
sensitive,,0.216743869,-0.363520291,0.15451808
sensitive,,0.256347832,0.958338539,0.118858559
sensitive,,0.557539566,-0.831077303,0.112555722
sensitive,,0.31951786,-0.597675237,0.075870228
sensitive,,-2.034291515,0.309999464,0.075870228
sensitive,,0.243468131,-0.59689723,0.038070938
sensitive,,-0.013661333,-1.116223849,-0.015254951
sensitive,,-1.226366109,0.569335092,-0.024631361
sensitive,,-1.095551314,-0.055177329,-0.024631361
sensitive,,0.19650434,1.451076727,-0.045945251
sensitive,,0.392996133,-0.857010866,-0.056245558
sensitive,,0.800024717,0.31259282,-0.112591292
sensitive,,1.889828535,0.543401529,-0.112591292
sensitive,,0.56940864,0.958338539,-0.166018049
sensitive,,-0.26003506,0.096087121,-0.169125602
sensitive,,1.098644983,-0.864991275,-1.143984138
sensitive,,-0.162613354,-0.986678681,-0.68066642
sensitive,,2.47995454,0.958338539,-1.158985921
sensitive,,-3.043615711,-0.741890352,-0.283837557
sensitive,,0.4773058,0.463496848,-0.283837557
sensitive,,2.771350819,-0.366863846,-0.285849597
sensitive,,0.874828743,0.958338539,-0.301927269
